p_idx,sim_id,il_type,comp_idx,temp,efield,snap_ns,D_cumul
0,0,BF4,0,250,0,100,8.862433333333334
1,0,BF4,0,250,0,60,3.700111111111111
2,0,BF4,0,250,0,70,3.1564285714285716
3,0,BF4,0,250,0,80,3.202125
4,0,BF4,0,250,0,90,5.24537037037037
5,1,BF4,0,250,1,100,8.661916666666666
6,1,BF4,0,250,1,60,14.025555555555554
7,1,BF4,0,250,1,70,9.560666666666666
8,1,BF4,0,250,1,80,8.978166666666668
9,1,BF4,0,250,1,90,8.814907407407407
10,2,BF4,0,300,0,100,18.921833333333336
11,2,BF4,0,300,0,60,3.629
12,2,BF4,0,300,0,70,0.8474261904761904
13,2,BF4,0,300,0,80,7.162645833333333
14,2,BF4,0,300,0,90,9.81924074074074
15,3,BF4,0,300,1,100,1.9031166666666666
16,3,BF4,0,300,1,60,3.505
17,3,BF4,0,300,1,70,4.937595238095238
18,3,BF4,0,300,1,80,1.9519041666666666
19,3,BF4,0,300,1,90,2.7372407407407406
20,4,BF4,0,350,0,100,3.629783333333333
21,4,BF4,0,350,0,60,2.5940416666666666
22,4,BF4,0,350,0,70,1.195097619047619
23,4,BF4,0,350,0,80,2.9856249999999998
24,4,BF4,0,350,0,90,1.070214814814815
25,5,BF4,0,350,1,100,2.7119166666666668
26,5,BF4,0,350,1,60,5.139972222222222
27,5,BF4,0,350,1,70,6.105476190476191
28,5,BF4,0,350,1,80,1.42279375
29,5,BF4,0,350,1,90,5.984555555555556
30,6,BF4,0,400,0,100,23.6765
31,6,BF4,0,400,0,60,27.142527777777776
32,6,BF4,0,400,0,70,43.40380952380952
33,6,BF4,0,400,0,80,22.1725
34,6,BF4,0,400,0,90,33.89685185185185
35,7,BF4,0,400,1,100,37.8095
36,7,BF4,0,400,1,60,63.000277777777775
37,7,BF4,0,400,1,70,69.08690476190476
38,7,BF4,0,400,1,80,60.2275
39,7,BF4,0,400,1,90,77.5375925925926
40,8,BF4,0,450,0,100,97.07766666666666
41,8,BF4,0,450,0,60,91.87833333333333
42,8,BF4,0,450,0,70,156.85714285714286
43,8,BF4,0,450,0,80,95.95770833333333
44,8,BF4,0,450,0,90,60.31759259259259
45,9,BF4,0,450,1,100,22.805833333333332
46,9,BF4,0,450,1,60,52.29777777777778
47,9,BF4,0,450,1,70,31.58952380952381
48,9,BF4,0,450,1,80,37.63729166666667
49,9,BF4,0,450,1,90,41.821851851851854
50,10,BF4,1,250,0,100,4.267216666666666
51,10,BF4,1,250,0,60,3.785361111111111
52,10,BF4,1,250,0,70,2.77
53,10,BF4,1,250,0,80,3.5529583333333337
54,10,BF4,1,250,0,90,7.26675925925926
55,11,BF4,1,250,1,100,3.9064666666666668
56,11,BF4,1,250,1,60,2.4374777777777776
57,11,BF4,1,250,1,70,2.0863071428571427
58,11,BF4,1,250,1,80,4.382458333333333
59,11,BF4,1,250,1,90,4.579425925925926
60,12,BF4,1,300,0,100,6.161766666666667
61,12,BF4,1,300,0,60,5.885611111111111
62,12,BF4,1,300,0,70,6.9719999999999995
63,12,BF4,1,300,0,80,6.457145833333333
64,12,BF4,1,300,0,90,6.022740740740741
65,13,BF4,1,300,1,100,2.4593333333333334
66,13,BF4,1,300,1,60,0.507675
67,13,BF4,1,300,1,70,1.2117595238095238
68,13,BF4,1,300,1,80,0.7363666666666667
69,13,BF4,1,300,1,90,0.6926703703703703
70,14,BF4,1,350,0,100,10.268383333333333
71,14,BF4,1,350,0,60,29.416666666666668
72,14,BF4,1,350,0,70,12.424119047619048
73,14,BF4,1,350,0,80,20.071958333333335
74,14,BF4,1,350,0,90,14.991037037037037
75,15,BF4,1,350,1,100,8.973883333333333
76,15,BF4,1,350,1,60,3.8948333333333336
77,15,BF4,1,350,1,70,7.1272142857142855
78,15,BF4,1,350,1,80,3.7999791666666667
79,15,BF4,1,350,1,90,8.393537037037037
80,16,BF4,1,400,0,100,23.558166666666665
81,16,BF4,1,400,0,60,1.0141472222222223
82,16,BF4,1,400,0,70,3.4649285714285716
83,16,BF4,1,400,0,80,11.3485
84,16,BF4,1,400,0,90,10.551574074074075
85,17,BF4,1,400,1,100,102.583
86,17,BF4,1,400,1,60,17.60247222222222
87,17,BF4,1,400,1,70,76.57904761904761
88,17,BF4,1,400,1,80,55.864375
89,17,BF4,1,400,1,90,69.77703703703703
90,18,BF4,1,450,0,100,133.97483333333332
91,18,BF4,1,450,0,60,47.32611111111112
92,18,BF4,1,450,0,70,46.812380952380956
93,18,BF4,1,450,0,80,64.401875
94,18,BF4,1,450,0,90,79.38796296296296
95,19,BF4,1,450,1,100,171.755
96,19,BF4,1,450,1,60,200.89222222222222
97,19,BF4,1,450,1,70,202.4283333333333
98,19,BF4,1,450,1,80,229.72083333333333
99,19,BF4,1,450,1,90,171.475
100,20,BF4,2,250,0,100,4.0979833333333335
101,20,BF4,2,250,0,60,7.887027777777778
102,20,BF4,2,250,0,70,9.772714285714285
103,20,BF4,2,250,0,80,5.884979166666667
104,20,BF4,2,250,0,90,4.754370370370371
105,21,BF4,2,250,1,100,2.973
106,21,BF4,2,250,1,60,2.463825
107,21,BF4,2,250,1,70,2.036440476190476
108,21,BF4,2,250,1,80,2.4665416666666666
109,21,BF4,2,250,1,90,2.2052407407407406
110,22,BF4,2,300,0,100,14.025083333333333
111,22,BF4,2,300,0,60,19.210638888888887
112,22,BF4,2,300,0,70,16.966714285714286
113,22,BF4,2,300,0,80,9.924083333333334
114,22,BF4,2,300,0,90,8.65
115,23,BF4,2,300,1,100,22.073166666666665
116,23,BF4,2,300,1,60,6.218611111111111
117,23,BF4,2,300,1,70,8.630904761904763
118,23,BF4,2,300,1,80,27.254166666666666
119,23,BF4,2,300,1,90,20.921666666666667
120,24,BF4,2,350,0,100,23.674833333333332
121,24,BF4,2,350,0,60,11.730749999999999
122,24,BF4,2,350,0,70,17.357785714285715
123,24,BF4,2,350,0,80,14.069666666666667
124,24,BF4,2,350,0,90,6.845444444444444
125,25,BF4,2,350,1,100,4.6847
126,25,BF4,2,350,1,60,6.691416666666666
127,25,BF4,2,350,1,70,4.128309523809524
128,25,BF4,2,350,1,80,2.5315208333333334
129,25,BF4,2,350,1,90,3.3135925925925926
130,26,BF4,2,400,0,100,18.176833333333335
131,26,BF4,2,400,0,60,13.27461111111111
132,26,BF4,2,400,0,70,5.880119047619048
133,26,BF4,2,400,0,80,1.0490479166666666
134,26,BF4,2,400,0,90,7.269111111111111
135,27,BF4,2,400,1,100,70.86233333333334
136,27,BF4,2,400,1,60,33.86222222222222
137,27,BF4,2,400,1,70,50.35142857142857
138,27,BF4,2,400,1,80,57.86
139,27,BF4,2,400,1,90,67.89314814814816
140,28,BF4,2,450,0,100,9.668566666666667
141,28,BF4,2,450,0,60,45.77611111111111
142,28,BF4,2,450,0,70,56.332857142857144
143,28,BF4,2,450,0,80,17.787479166666667
144,28,BF4,2,450,0,90,29.54685185185185
145,29,BF4,2,450,1,100,20.0765
146,29,BF4,2,450,1,60,8.608555555555556
147,29,BF4,2,450,1,70,18.566714285714287
148,29,BF4,2,450,1,80,17.874062499999997
149,29,BF4,2,450,1,90,27.848148148148148
150,30,BF4,3,250,0,100,0.40276
151,30,BF4,3,250,0,60,0.24345916666666667
152,30,BF4,3,250,0,70,0.21898714285714285
153,30,BF4,3,250,0,80,0.5591291666666667
154,30,BF4,3,250,0,90,0.3159888888888889
155,31,BF4,3,250,1,100,0.096006
156,31,BF4,3,250,1,60,0.6368527777777777
157,31,BF4,3,250,1,70,0.39297380952380956
158,31,BF4,3,250,1,80,0.2427875
159,31,BF4,3,250,1,90,0.21855555555555556
160,32,BF4,3,300,0,100,4.151783333333333
161,32,BF4,3,300,0,60,5.531694444444445
162,32,BF4,3,300,0,70,3.6057380952380953
163,32,BF4,3,300,0,80,4.1117083333333335
164,32,BF4,3,300,0,90,3.6317962962962964
165,33,BF4,3,300,1,100,5.701416666666667
166,33,BF4,3,300,1,60,16.219166666666666
167,33,BF4,3,300,1,70,12.699404761904763
168,33,BF4,3,300,1,80,12.319687499999999
169,33,BF4,3,300,1,90,4.907500000000001
170,34,BF4,3,350,0,100,6.6272
171,34,BF4,3,350,0,60,2.7246805555555556
172,34,BF4,3,350,0,70,10.893952380952381
173,34,BF4,3,350,0,80,16.53183333333333
174,34,BF4,3,350,0,90,5.151944444444445
175,35,BF4,3,350,1,100,30.105833333333333
176,35,BF4,3,350,1,60,48.980555555555554
177,35,BF4,3,350,1,70,39.593333333333334
178,35,BF4,3,350,1,80,56.07604166666667
179,35,BF4,3,350,1,90,36.94851851851852
180,36,BF4,3,400,0,100,23.9
181,36,BF4,3,400,0,60,74.79777777777778
182,36,BF4,3,400,0,70,59.21047619047619
183,36,BF4,3,400,0,80,50.781666666666666
184,36,BF4,3,400,0,90,44.352037037037036
