sim_id,il_type,comp_idx,temp,efield,p_idx,D
BF4_No01_250K_ef0,BF4,0,250,0,0,17.321120489820228
BF4_No01_250K_ef1,BF4,0,250,1,5,4.8505294909492465
BF4_No01_300K_ef0,BF4,0,300,0,10,42.242429747149565
BF4_No01_300K_ef1,BF4,0,300,1,15,2.8394127929088278
BF4_No01_350K_ef0,BF4,0,350,0,20,2.082774937655859
BF4_No01_350K_ef1,BF4,0,350,1,25,3.7693263675388664
BF4_No01_400K_ef0,BF4,0,400,0,30,21.32535318730537
BF4_No01_400K_ef1,BF4,0,400,1,35,27.8788299772956
BF4_No01_450K_ef0,BF4,0,450,0,40,101.18941860280849
BF4_No01_450K_ef1,BF4,0,450,1,45,28.53104806391983
BF4_No02_250K_ef0,BF4,1,250,0,50,11.381104635798557
BF4_No02_250K_ef1,BF4,1,250,1,55,9.315205864691507
BF4_No02_300K_ef0,BF4,1,300,0,60,5.8653787359958365
BF4_No02_300K_ef1,BF4,1,300,1,65,2.9645459038969757
BF4_No02_350K_ef0,BF4,1,350,0,70,3.874970666276018
BF4_No02_350K_ef1,BF4,1,350,1,75,14.322336834530597
BF4_No02_400K_ef0,BF4,1,400,0,80,51.51578516271516
BF4_No02_400K_ef1,BF4,1,400,1,85,161.36804879592069
BF4_No02_450K_ef0,BF4,1,450,0,90,216.08794794729593
BF4_No02_450K_ef1,BF4,1,450,1,95,77.77124427736632
BF4_No03_250K_ef0,BF4,2,250,0,100,3.8245241420561418
BF4_No03_250K_ef1,BF4,2,250,1,105,2.7489536705499944
BF4_No03_300K_ef0,BF4,2,300,0,110,0.2114865603404437
BF4_No03_300K_ef1,BF4,2,300,1,115,55.43846862631978
BF4_No03_350K_ef0,BF4,2,350,0,120,11.487734736541734
BF4_No03_350K_ef1,BF4,2,350,1,125,0.0
BF4_No03_400K_ef0,BF4,2,400,0,130,11.214345220282631
BF4_No03_400K_ef1,BF4,2,400,1,135,146.08637188124237
BF4_No03_450K_ef0,BF4,2,450,0,140,16.27870714184371
BF4_No03_450K_ef1,BF4,2,450,1,145,40.10314220667239
BF4_No04_250K_ef0,BF4,3,250,0,150,0.23821054530961175
BF4_No04_250K_ef1,BF4,3,250,1,155,0.06611111668411676
BF4_No04_300K_ef0,BF4,3,300,0,160,0.2783463623280099
BF4_No04_300K_ef1,BF4,3,300,1,165,6.256838168066868
BF4_No04_350K_ef0,BF4,3,350,0,170,12.374576671835252
