p_idx,il_type,comp_idx,temp,efield,snap,D_recalc
0,BF4,1,250,0,10ns,12.871441338227351
1,BF4,1,250,0,6ns,12.871441338227351
2,BF4,1,250,0,7ns,12.871441338227351
3,BF4,1,250,0,8ns,12.871441338227351
4,BF4,1,250,0,9ns,12.871441338227351
5,BF4,1,250,1,10ns,8.003540149031796
6,BF4,1,250,1,6ns,8.003540149031796
7,BF4,1,250,1,7ns,8.003540149031796
8,BF4,1,250,1,8ns,8.003540149031796
9,BF4,1,250,1,9ns,8.003540149031796
10,BF4,1,300,0,10ns,23.129360616856747
11,BF4,1,300,0,6ns,23.129360616856747
12,BF4,1,300,0,7ns,23.129360616856747
13,BF4,1,300,0,8ns,23.129360616856747
14,BF4,1,300,0,9ns,23.129360616856747
15,BF4,1,300,1,10ns,2.8394127929088278
16,BF4,1,300,1,6ns,2.8394127929088278
17,BF4,1,300,1,7ns,2.8394127929088278
18,BF4,1,300,1,8ns,2.8394127929088278
19,BF4,1,300,1,9ns,2.8394127929088278
20,BF4,1,350,0,10ns,0.0
21,BF4,1,350,0,6ns,0.0
22,BF4,1,350,0,7ns,0.0
23,BF4,1,350,0,8ns,0.0
24,BF4,1,350,0,9ns,0.0
25,BF4,1,350,1,10ns,5.603709608201908
26,BF4,1,350,1,6ns,5.603709608201908
27,BF4,1,350,1,7ns,5.603709608201908
28,BF4,1,350,1,8ns,5.603709608201908
29,BF4,1,350,1,9ns,5.603709608201908
30,BF4,1,400,0,10ns,38.65991818913844
31,BF4,1,400,0,6ns,38.65991818913844
32,BF4,1,400,0,7ns,38.65991818913844
33,BF4,1,400,0,8ns,38.65991818913844
34,BF4,1,400,0,9ns,38.65991818913844
35,BF4,1,400,1,10ns,52.70216442510921
36,BF4,1,400,1,6ns,52.70216442510921
37,BF4,1,400,1,7ns,52.70216442510921
38,BF4,1,400,1,8ns,52.70216442510921
39,BF4,1,400,1,9ns,52.70216442510921
40,BF4,1,450,0,10ns,101.18941860280849
41,BF4,1,450,0,6ns,101.18941860280849
42,BF4,1,450,0,7ns,101.18941860280849
43,BF4,1,450,0,8ns,101.18941860280849
44,BF4,1,450,0,9ns,101.18941860280849
45,BF4,1,450,1,10ns,22.56850719226516
46,BF4,1,450,1,6ns,22.56850719226516
47,BF4,1,450,1,7ns,22.56850719226516
48,BF4,1,450,1,8ns,22.56850719226516
49,BF4,1,450,1,9ns,22.56850719226516
50,BF4,2,250,0,10ns,9.911236105844273
51,BF4,2,250,0,6ns,9.911236105844273
52,BF4,2,250,0,7ns,9.911236105844273
53,BF4,2,250,0,8ns,9.911236105844273
54,BF4,2,250,0,9ns,9.911236105844273
55,BF4,2,250,1,10ns,8.470004456304828
56,BF4,2,250,1,6ns,8.470004456304828
57,BF4,2,250,1,7ns,8.470004456304828
58,BF4,2,250,1,8ns,8.470004456304828
59,BF4,2,250,1,9ns,8.470004456304828
60,BF4,2,300,0,10ns,6.107154582893409
61,BF4,2,300,0,6ns,6.107154582893409
62,BF4,2,300,0,7ns,6.107154582893409
63,BF4,2,300,0,8ns,6.107154582893409
64,BF4,2,300,0,9ns,6.107154582893409
65,BF4,2,300,1,10ns,1.5442610847922345
66,BF4,2,300,1,6ns,1.5442610847922345
67,BF4,2,300,1,7ns,1.5442610847922345
68,BF4,2,300,1,8ns,1.5442610847922345
69,BF4,2,300,1,9ns,1.5442610847922345
70,BF4,2,350,0,10ns,3.874970666276018
71,BF4,2,350,0,6ns,3.874970666276018
72,BF4,2,350,0,7ns,3.874970666276018
73,BF4,2,350,0,8ns,3.874970666276018
74,BF4,2,350,0,9ns,3.874970666276018
75,BF4,2,350,1,10ns,13.859544077810533
76,BF4,2,350,1,6ns,13.859544077810533
77,BF4,2,350,1,7ns,13.859544077810533
78,BF4,2,350,1,8ns,13.859544077810533
79,BF4,2,350,1,9ns,13.859544077810533
80,BF4,2,400,0,10ns,29.458620372100366
81,BF4,2,400,0,6ns,29.458620372100366
82,BF4,2,400,0,7ns,29.458620372100366
83,BF4,2,400,0,8ns,29.458620372100366
84,BF4,2,400,0,9ns,29.458620372100366
85,BF4,2,400,1,10ns,158.18424138138178
86,BF4,2,400,1,6ns,158.18424138138178
87,BF4,2,400,1,7ns,158.18424138138178
88,BF4,2,400,1,8ns,158.18424138138178
89,BF4,2,400,1,9ns,158.18424138138178
90,BF4,2,450,0,10ns,144.26525946051538
91,BF4,2,450,0,6ns,144.26525946051538
92,BF4,2,450,0,7ns,144.26525946051538
93,BF4,2,450,0,8ns,144.26525946051538
94,BF4,2,450,0,9ns,144.26525946051538
95,BF4,2,450,1,10ns,30.38215353517486
96,BF4,2,450,1,6ns,30.38215353517486
