Na+,Cation,Anion,Anion_kinds,Temperature,Efield,Graphene,Na+_diffusion
79,135,214,BF4,250,0,1,220.8444863
79,135,214,BF4,250,0,1,81.70589772
79,135,214,BF4,250,0,1,-2.958248443
79,135,214,BF4,250,0,1,40.42528622
79,135,214,BF4,250,0,1,198.4933033
99,115,214,BF4,250,0,1,-172.0687364
99,115,214,BF4,250,0,1,124.4602353
99,115,214,BF4,250,0,1,-10.80935747
99,115,214,BF4,250,0,1,42.31304882
99,115,214,BF4,250,0,1,82.68810208
119,95,214,BF4,250,0,1,-46.00952969
119,95,214,BF4,250,0,1,29.20366093
119,95,214,BF4,250,0,1,73.95800915
119,95,214,BF4,250,0,1,-158.476522
119,95,214,BF4,250,0,1,-16.61791325
139,75,214,BF4,250,0,1,9.386585865
139,75,214,BF4,250,0,1,0.25378112
139,75,214,BF4,250,0,1,0.296178464
139,75,214,BF4,250,0,1,22.11561599
139,75,214,BF4,250,0,1,-4.025220451
159,55,214,BF4,250,0,1,-0.236772476
159,55,214,BF4,250,0,1,-20.35001364
159,55,214,BF4,250,0,1,-11.92445512
159,55,214,BF4,250,0,1,5.195543407
159,55,214,BF4,250,0,1,-0.237671357
79,135,214,BF4,250,1,1,5.282045143
79,135,214,BF4,250,1,1,321.8225549
79,135,214,BF4,250,1,1,-68.8259027
79,135,214,BF4,250,1,1,-14.95518681
79,135,214,BF4,250,1,1,21.60709984
99,115,214,BF4,250,1,1,31.03166066
99,115,214,BF4,250,1,1,92.1690118
99,115,214,BF4,250,1,1,-18.88856575
99,115,214,BF4,250,1,1,76.98614311
99,115,214,BF4,250,1,1,78.90018502
119,95,214,BF4,250,1,1,12.33790381
119,95,214,BF4,250,1,1,-8.357623033
119,95,214,BF4,250,1,1,-0.52966688
119,95,214,BF4,250,1,1,11.69127012
119,95,214,BF4,250,1,1,2.144394583
139,75,214,BF4,250,1,1,0.941480823
139,75,214,BF4,250,1,1,17.93336036
139,75,214,BF4,250,1,1,1.094837113
139,75,214,BF4,250,1,1,-5.765415468
139,75,214,BF4,250,1,1,0.9019876
159,55,214,BF4,250,1,1,2.016650841
159,55,214,BF4,250,1,1,31.84344719
159,55,214,BF4,250,1,1,-50.40413178
159,55,214,BF4,250,1,1,102.9686394
159,55,214,BF4,250,1,1,-3.244479002
79,135,214,BF4,300,0,1,836.9723317
79,135,214,BF4,300,0,1,39.43640322
79,135,214,BF4,300,0,1,-44.26686821
79,135,214,BF4,300,0,1,403.2030697
79,135,214,BF4,300,0,1,137.4900906
99,115,214,BF4,300,0,1,38.3121648
99,115,214,BF4,300,0,1,120.8123948
99,115,214,BF4,300,0,1,16.59702611
99,115,214,BF4,300,0,1,44.72022578
99,115,214,BF4,300,0,1,11.7746697
119,95,214,BF4,300,0,1,173.0637447
119,95,214,BF4,300,0,1,-120.8857576
119,95,214,BF4,300,0,1,-34.08771524
119,95,214,BF4,300,0,1,-207.0161702
119,95,214,BF4,300,0,1,70.08434093
139,75,214,BF4,300,0,1,11.24545579
139,75,214,BF4,300,0,1,-39.4081632
139,75,214,BF4,300,0,1,-176.3465328
139,75,214,BF4,300,0,1,-42.64738506
139,75,214,BF4,300,0,1,21.77362867
159,55,214,BF4,300,0,1,82.71992497
159,55,214,BF4,300,0,1,-342.0376723
159,55,214,BF4,300,0,1,-196.9752315
159,55,214,BF4,300,0,1,-11.79099942
159,55,214,BF4,300,0,1,-100.2790378
79,135,214,BF4,300,1,1,4.791484951
79,135,214,BF4,300,1,1,128.30656
79,135,214,BF4,300,1,1,46.33860755
79,135,214,BF4,300,1,1,-136.4935776
79,135,214,BF4,300,1,1,81.48407795
99,115,214,BF4,300,1,1,108.7208408
99,115,214,BF4,300,1,1,-13.94279548
99,115,214,BF4,300,1,1,6.263544332
99,115,214,BF4,300,1,1,-13.90618164
99,115,214,BF4,300,1,1,-11.01334741
119,95,214,BF4,300,1,1,209.6649006
119,95,214,BF4,300,1,1,-335.7874356
119,95,214,BF4,300,1,1,262.1487215
119,95,214,BF4,300,1,1,953.1927123
119,95,214,BF4,300,1,1,-224.1326967
139,75,214,BF4,300,1,1,109.2520524
139,75,214,BF4,300,1,1,171.1472816
139,75,214,BF4,300,1,1,-16.41074471
139,75,214,BF4,300,1,1,2.915958763
139,75,214,BF4,300,1,1,-441.4293745
159,55,214,BF4,300,1,1,76.67827327
159,55,214,BF4,300,1,1,-11.05729715
159,55,214,BF4,300,1,1,147.6314234
159,55,214,BF4,300,1,1,86.95421763
159,55,214,BF4,300,1,1,-103.7263741
79,135,214,BF4,350,0,1,50.67571381
79,135,214,BF4,350,0,1,28.60040188
79,135,214,BF4,350,0,1,-57.34797229
79,135,214,BF4,350,0,1,196.8164445
79,135,214,BF4,350,0,1,-71.04475121
99,115,214,BF4,350,0,1,-71.75940984
99,115,214,BF4,350,0,1,-173.7190713
99,115,214,BF4,350,0,1,-507.1965685
99,115,214,BF4,350,0,1,599.0907666
99,115,214,BF4,350,0,1,-168.6348088
119,95,214,BF4,350,0,1,1276.58299
119,95,214,BF4,350,0,1,-164.1748535
119,95,214,BF4,350,0,1,189.4355184
119,95,214,BF4,350,0,1,-140.1644864
119,95,214,BF4,350,0,1,-483.0639851
139,75,214,BF4,350,0,1,153.7223195
139,75,214,BF4,350,0,1,119.8432769
139,75,214,BF4,350,0,1,363.4092964
139,75,214,BF4,350,0,1,38.73935762
139,75,214,BF4,350,0,1,-339.8886941
159,55,214,BF4,350,0,1,-23.34918784
159,55,214,BF4,350,0,1,38.33134453
159,55,214,BF4,350,0,1,118.4641784
159,55,214,BF4,350,0,1,260.8864407
159,55,214,BF4,350,0,1,289.2806435
79,135,214,BF4,350,1,1,-262.9093079
79,135,214,BF4,350,1,1,301.8760343
79,135,214,BF4,350,1,1,18.01133545
79,135,214,BF4,350,1,1,-272.9766312
79,135,214,BF4,350,1,1,259.7441033
99,115,214,BF4,350,1,1,59.35679451
99,115,214,BF4,350,1,1,116.7045417
99,115,214,BF4,350,1,1,87.96537314
99,115,214,BF4,350,1,1,-64.36364544
99,115,214,BF4,350,1,1,173.8234673
119,95,214,BF4,350,1,1,101.1349429
119,95,214,BF4,350,1,1,-522.4077855
119,95,214,BF4,350,1,1,-1.780167479
119,95,214,BF4,350,1,1,-17.64902873
119,95,214,BF4,350,1,1,148.7136508
139,75,214,BF4,350,1,1,7.115565098
139,75,214,BF4,350,1,1,683.2861143
139,75,214,BF4,350,1,1,-229.7863171
139,75,214,BF4,350,1,1,1151.204526
139,75,214,BF4,350,1,1,-470.9566522
159,55,214,BF4,350,1,1,829.0907024
159,55,214,BF4,350,1,1,507.0866593
159,55,214,BF4,350,1,1,312.3040977
159,55,214,BF4,350,1,1,141.8627625
159,55,214,BF4,350,1,1,859.5372558
79,135,214,BF4,400,0,1,-681.4931051
79,135,214,BF4,400,0,1,177.1575526
79,135,214,BF4,400,0,1,626.6700589
79,135,214,BF4,400,0,1,-851.7032951
79,135,214,BF4,400,0,1,806.1135683
99,115,214,BF4,400,0,1,1055.889101
99,115,214,BF4,400,0,1,22.577106
99,115,214,BF4,400,0,1,149.9428727
99,115,214,BF4,400,0,1,399.9727488
99,115,214,BF4,400,0,1,-100.8723439
119,95,214,BF4,400,0,1,793.0876448
119,95,214,BF4,400,0,1,-291.9810954
119,95,214,BF4,400,0,1,-412.1711718
119,95,214,BF4,400,0,1,-150.9728656
119,95,214,BF4,400,0,1,445.0080682
139,75,214,BF4,400,0,1,-1169.519513
139,75,214,BF4,400,0,1,-244.4096514
139,75,214,BF4,400,0,1,152.797662
139,75,214,BF4,400,0,1,-294.7728756
139,75,214,BF4,400,0,1,192.4275591
159,55,214,BF4,400,0,1,-517.1634511
159,55,214,BF4,400,0,1,339.3050966
159,55,214,BF4,400,0,1,300.3913844
159,55,214,BF4,400,0,1,146.34551
159,55,214,BF4,400,0,1,-674.5010657
79,135,214,BF4,400,1,1,-1368.829221
79,135,214,BF4,400,1,1,138.0133366
79,135,214,BF4,400,1,1,733.1695662
79,135,214,BF4,400,1,1,601.472391
79,135,214,BF4,400,1,1,1107.320136
99,115,214,BF4,400,1,1,3092.778429
99,115,214,BF4,400,1,1,646.6794196
99,115,214,BF4,400,1,1,3411.857269
99,115,214,BF4,400,1,1,-887.3684816
99,115,214,BF4,400,1,1,1153.537981
119,95,214,BF4,400,1,1,564.9618214
119,95,214,BF4,400,1,1,830.9173542
119,95,214,BF4,400,1,1,998.0205097
119,95,214,BF4,400,1,1,393.8294384
119,95,214,BF4,400,1,1,1137.974274
139,75,214,BF4,400,1,1,-197.2198861
139,75,214,BF4,400,1,1,426.3498431
139,75,214,BF4,400,1,1,-332.8423779
139,75,214,BF4,400,1,1,-1152.944772
139,75,214,BF4,400,1,1,1294.081886
159,55,214,BF4,400,1,1,-549.142322
159,55,214,BF4,400,1,1,-34.32767868
159,55,214,BF4,400,1,1,552.403348
159,55,214,BF4,400,1,1,-20.40463343
159,55,214,BF4,400,1,1,1162.863287
79,135,214,BF4,450,0,1,3048.831552
79,135,214,BF4,450,0,1,870.5696979
79,135,214,BF4,450,0,1,2751.024414
79,135,214,BF4,450,0,1,-1577.010801
79,135,214,BF4,450,0,1,-1910.425961
99,115,214,BF4,450,0,1,3746.213158
99,115,214,BF4,450,0,1,-438.606267
99,115,214,BF4,450,0,1,97.52031248
99,115,214,BF4,450,0,1,1658.42165
99,115,214,BF4,450,0,1,1701.122759
119,95,214,BF4,450,0,1,-1374.896871
119,95,214,BF4,450,0,1,716.4908003
119,95,214,BF4,450,0,1,650.8808604
139,75,214,BF4,450,0,1,-1374.327722
139,75,214,BF4,450,0,1,1125.115739
139,75,214,BF4,450,0,1,-745.6506332
139,75,214,BF4,450,0,1,-390.4809027
139,75,214,BF4,450,0,1,-212.304674
139,75,214,BF4,450,0,1,-275.3102433
139,75,214,BF4,450,0,1,2475.60867
159,55,214,BF4,450,0,1,-435.0660485
159,55,214,BF4,450,0,1,2140.787439
159,55,214,BF4,450,0,1,1865.08141
159,55,214,BF4,450,0,1,-1130.273064
159,55,214,BF4,450,0,1,-1121.132251
79,135,214,BF4,450,1,1,-478.8643847
79,135,214,BF4,450,1,1,-1489.780467
79,135,214,BF4,450,1,1,-202.0725159
79,135,214,BF4,450,1,1,656.3493109
79,135,214,BF4,450,1,1,579.0282898
99,115,214,BF4,450,1,1,-280.9349129
99,115,214,BF4,450,1,1,-3031.603201
99,115,214,BF4,450,1,1,2110.368217
99,115,214,BF4,450,1,1,4725.272
99,115,214,BF4,450,1,1,-1871.679666
119,95,214,BF4,450,1,1,-275.252723
119,95,214,BF4,450,1,1,-26.60670396
119,95,214,BF4,450,1,1,327.0364488
139,75,214,BF4,450,1,1,101.4326728
139,75,214,BF4,450,1,1,1044.181601
139,75,214,BF4,450,1,1,1356.868041
139,75,214,BF4,450,1,1,2931.237949
139,75,214,BF4,450,1,1,1450.835671
139,75,214,BF4,450,1,1,4565.227347
139,75,214,BF4,450,1,1,5536.347177
159,55,214,BF4,450,1,1,1836.265987
159,55,214,BF4,450,1,1,549.6891834
159,55,214,BF4,450,1,1,-274.7179638
159,55,214,BF4,450,1,1,-63.38682717
159,55,214,BF4,450,1,1,2396.285558
39,95,134,TFSI,250,0,1,172.2656531
39,95,134,TFSI,250,0,1,-19.54869089
39,95,134,TFSI,250,0,1,0.100102334
39,95,134,TFSI,250,0,1,10.71723884
39,95,134,TFSI,250,0,1,173.259322
59,75,134,TFSI,250,0,1,38.13196148
59,75,134,TFSI,250,0,1,39.08649586
59,75,134,TFSI,250,0,1,-70.0548768
59,75,134,TFSI,250,0,1,-5.35317483
59,75,134,TFSI,250,0,1,0.978349642
79,55,134,TFSI,250,0,1,36.67189216
79,55,134,TFSI,250,0,1,-37.87403816
79,55,134,TFSI,250,0,1,-216.5088265
79,55,134,TFSI,250,0,1,60.02323443
79,55,134,TFSI,250,0,1,-3.214902071
99,35,134,TFSI,250,0,1,7.787407415
99,35,134,TFSI,250,0,1,33.82025723
99,35,134,TFSI,250,0,1,85.47660428
99,35,134,TFSI,250,0,1,-9.91341856
99,35,134,TFSI,250,0,1,-23.98759033
119,15,134,TFSI,250,0,1,46210.60228
119,15,134,TFSI,250,0,1,31823.6283
119,15,134,TFSI,250,0,1,26344.55508
119,15,134,TFSI,250,0,1,24760.44082
119,15,134,TFSI,250,0,1,59414.51777
39,95,134,TFSI,250,1,1,-29.03739851
39,95,134,TFSI,250,1,1,163.4741449
39,95,134,TFSI,250,1,1,121.505799
39,95,134,TFSI,250,1,1,-298.3095321
39,95,134,TFSI,250,1,1,8.304083915
59,75,134,TFSI,250,1,1,75.45379523
59,75,134,TFSI,250,1,1,70.76422206
59,75,134,TFSI,250,1,1,5.335615371
59,75,134,TFSI,250,1,1,-46.05996202
59,75,134,TFSI,250,1,1,-40.04637755
79,55,134,TFSI,250,1,1,-3.202026989
79,55,134,TFSI,250,1,1,-7.079185346
79,55,134,TFSI,250,1,1,-25.79264615
79,55,134,TFSI,250,1,1,-0.001947374
79,55,134,TFSI,250,1,1,-8.231302101
99,35,134,TFSI,250,1,1,10.274485
99,35,134,TFSI,250,1,1,-24.29790111
99,35,134,TFSI,250,1,1,21.99480936
99,35,134,TFSI,250,1,1,14.86049162
99,35,134,TFSI,250,1,1,-38.69909794
119,15,134,TFSI,250,1,1,78212.49999
119,15,134,TFSI,250,1,1,67345.22111
119,15,134,TFSI,250,1,1,80186.63519
119,15,134,TFSI,250,1,1,92365.09213
119,15,134,TFSI,250,1,1,78321.04205
39,95,134,TFSI,300,0,1,14.81227082
39,95,134,TFSI,300,0,1,-29.35288511
39,95,134,TFSI,300,0,1,-4.167675493
39,95,134,TFSI,300,0,1,40.30037399
39,95,134,TFSI,300,0,1,71.00055342
59,75,134,TFSI,300,0,1,35.97703904
59,75,134,TFSI,300,0,1,-49.71056972
59,75,134,TFSI,300,0,1,-2.941652573
59,75,134,TFSI,300,0,1,-2.265657388
59,75,134,TFSI,300,0,1,-4.780918182
79,55,134,TFSI,300,0,1,-15.96725292
79,55,134,TFSI,300,0,1,34.65096386
79,55,134,TFSI,300,0,1,406.3391053
79,55,134,TFSI,300,0,1,-81.19460802
79,55,134,TFSI,300,0,1,49.66480157
99,35,134,TFSI,300,0,1,10.71566581
99,35,134,TFSI,300,0,1,-37.63332417
99,35,134,TFSI,300,0,1,-12.2599557
99,35,134,TFSI,300,0,1,209.2170639
99,35,134,TFSI,300,0,1,-31.94199034
119,15,134,TFSI,300,0,1,113092.3888
119,15,134,TFSI,300,0,1,93036.4121
119,15,134,TFSI,300,0,1,137412.1396
119,15,134,TFSI,300,0,1,140098.4495
119,15,134,TFSI,300,0,1,99780.05494
39,95,134,TFSI,300,1,1,208.7978703
39,95,134,TFSI,300,1,1,216.2895744
39,95,134,TFSI,300,1,1,210.0550342
39,95,134,TFSI,300,1,1,396.357993
39,95,134,TFSI,300,1,1,13.91013294
59,75,134,TFSI,300,1,1,-134.1635724
59,75,134,TFSI,300,1,1,38.07439032
59,75,134,TFSI,300,1,1,43.20793495
59,75,134,TFSI,300,1,1,165.6682296
59,75,134,TFSI,300,1,1,263.3594248
79,55,134,TFSI,300,1,1,-194.3603737
79,55,134,TFSI,300,1,1,162.9882827
79,55,134,TFSI,300,1,1,182.8835038
79,55,134,TFSI,300,1,1,-225.5328914
79,55,134,TFSI,300,1,1,158.0976929
99,35,134,TFSI,300,1,1,181.1755673
99,35,134,TFSI,300,1,1,-41.78509932
99,35,134,TFSI,300,1,1,100.9781047
99,35,134,TFSI,300,1,1,459.78501
99,35,134,TFSI,300,1,1,-81.79724975
119,15,134,TFSI,300,1,1,163467.9155
119,15,134,TFSI,300,1,1,12552.32678
119,15,134,TFSI,300,1,1,16462.34054
119,15,134,TFSI,300,1,1,78006.62865
119,15,134,TFSI,300,1,1,139568.2259
39,95,134,TFSI,350,0,1,5.602191028
39,95,134,TFSI,350,0,1,72.1007588
39,95,134,TFSI,350,0,1,283.7994723
39,95,134,TFSI,350,0,1,-92.75541541
39,95,134,TFSI,350,0,1,453.8062769
59,75,134,TFSI,350,0,1,971.7043068
59,75,134,TFSI,350,0,1,221.6636575
59,75,134,TFSI,350,0,1,590.7267702
59,75,134,TFSI,350,0,1,947.0740415
59,75,134,TFSI,350,0,1,449.8384082
79,55,134,TFSI,350,0,1,158.607593
79,55,134,TFSI,350,0,1,318.7290247
79,55,134,TFSI,350,0,1,87.41057146
79,55,134,TFSI,350,0,1,819.9712839
79,55,134,TFSI,350,0,1,-259.3374514
99,35,134,TFSI,350,0,1,-275.438185
99,35,134,TFSI,350,0,1,88.39867904
99,35,134,TFSI,350,0,1,-349.833224
99,35,134,TFSI,350,0,1,803.0418689
99,35,134,TFSI,350,0,1,499.2383109
119,15,134,TFSI,350,0,1,15369.4814
119,15,134,TFSI,350,0,1,-3701.04456
119,15,134,TFSI,350,0,1,4081.027878
119,15,134,TFSI,350,0,1,7385.094759
119,15,134,TFSI,350,0,1,12214.35947
39,95,134,TFSI,350,1,1,140.9867143
39,95,134,TFSI,350,1,1,14.89426212
39,95,134,TFSI,350,1,1,-35.40852406
39,95,134,TFSI,350,1,1,14.34819459
39,95,134,TFSI,350,1,1,-164.5484972
59,75,134,TFSI,350,1,1,-241.7875081
59,75,134,TFSI,350,1,1,117.2540524
59,75,134,TFSI,350,1,1,-13.62000792
59,75,134,TFSI,350,1,1,423.2964457
59,75,134,TFSI,350,1,1,-726.2956864
79,55,134,TFSI,350,1,1,73.49414424
79,55,134,TFSI,350,1,1,-44.51272727
79,55,134,TFSI,350,1,1,-38.19827416
79,55,134,TFSI,350,1,1,-165.4655761
79,55,134,TFSI,350,1,1,284.2539386
99,35,134,TFSI,350,1,1,916.4036959
99,35,134,TFSI,350,1,1,-149.3122907
99,35,134,TFSI,350,1,1,-79.10315662
99,35,134,TFSI,350,1,1,-27.28340261
99,35,134,TFSI,350,1,1,29.41503359
119,15,134,TFSI,350,1,1,25167.37113
119,15,134,TFSI,350,1,1,-5188.397992
119,15,134,TFSI,350,1,1,7578.817824
119,15,134,TFSI,350,1,1,40193.80888
119,15,134,TFSI,350,1,1,17900.8654
39,95,134,TFSI,400,0,1,1164.158192
39,95,134,TFSI,400,0,1,1611.829144
39,95,134,TFSI,400,0,1,683.3092329
39,95,134,TFSI,400,0,1,-447.8033554
39,95,134,TFSI,400,0,1,875.1114073
59,75,134,TFSI,400,0,1,-886.1032295
59,75,134,TFSI,400,0,1,90.42813054
59,75,134,TFSI,400,0,1,-12.915027
59,75,134,TFSI,400,0,1,285.5523752
59,75,134,TFSI,400,0,1,607.6356797
79,55,134,TFSI,400,0,1,509.2479278
79,55,134,TFSI,400,0,1,-33.26008793
79,55,134,TFSI,400,0,1,-93.00371519
79,55,134,TFSI,400,0,1,110.6348397
79,55,134,TFSI,400,0,1,-56.36563561
99,35,134,TFSI,400,0,1,771.9853864
99,35,134,TFSI,400,0,1,-933.339627
99,35,134,TFSI,400,0,1,-362.4821053
99,35,134,TFSI,400,0,1,749.7285661
99,35,134,TFSI,400,0,1,398.0145145
119,15,134,TFSI,400,0,1,-2755.827184
119,15,134,TFSI,400,0,1,24317.87541
119,15,134,TFSI,400,0,1,2852.449051
119,15,134,TFSI,400,0,1,13414.40476
119,15,134,TFSI,400,0,1,21699.74069
39,95,134,TFSI,400,1,1,1497.914759
39,95,134,TFSI,400,1,1,-512.9726058
39,95,134,TFSI,400,1,1,127.697014
39,95,134,TFSI,400,1,1,-574.5712759
39,95,134,TFSI,400,1,1,-86.46896075
59,75,134,TFSI,400,1,1,116.4207428
59,75,134,TFSI,400,1,1,554.3522889
59,75,134,TFSI,400,1,1,-227.6848123
59,75,134,TFSI,400,1,1,-177.1250627
59,75,134,TFSI,400,1,1,309.8701865
79,55,134,TFSI,400,1,1,178.2508872
79,55,134,TFSI,400,1,1,-12.69228405
79,55,134,TFSI,400,1,1,112.0075176
79,55,134,TFSI,400,1,1,-171.3201005
79,55,134,TFSI,400,1,1,132.9674614
99,35,134,TFSI,400,1,1,484.9976259
99,35,134,TFSI,400,1,1,300.4469331
99,35,134,TFSI,400,1,1,-22.23770976
99,35,134,TFSI,400,1,1,87.29499772
99,35,134,TFSI,400,1,1,98.25117324
119,15,134,TFSI,400,1,1,21096.51492
119,15,134,TFSI,400,1,1,-22530.21283
119,15,134,TFSI,400,1,1,-2232.513741
119,15,134,TFSI,400,1,1,-7067.410743
119,15,134,TFSI,400,1,1,-10471.28066
39,95,134,TFSI,450,0,1,29.64323327
39,95,134,TFSI,450,0,1,-1048.30619
39,95,134,TFSI,450,0,1,-147.4912247
39,95,134,TFSI,450,0,1,-1.25580824
39,95,134,TFSI,450,0,1,-274.9300014
59,75,134,TFSI,450,0,1,528.879272
59,75,134,TFSI,450,0,1,395.7140195
59,75,134,TFSI,450,0,1,482.3588957
59,75,134,TFSI,450,0,1,559.5031276
59,75,134,TFSI,450,0,1,2574.060813
79,55,134,TFSI,450,0,1,1022.06504
79,55,134,TFSI,450,0,1,1368.432782
79,55,134,TFSI,450,0,1,-1215.435928
79,55,134,TFSI,450,0,1,-177.7817474
79,55,134,TFSI,450,0,1,3001.500319
99,35,134,TFSI,450,0,1,-1615.555634
99,35,134,TFSI,450,0,1,1561.158905
99,35,134,TFSI,450,0,1,1128.827246
99,35,134,TFSI,450,0,1,-153.8410088
99,35,134,TFSI,450,0,1,2116.400074
119,15,134,TFSI,450,0,1,211.669474
119,15,134,TFSI,450,0,1,11999.01401
119,15,134,TFSI,450,0,1,12890.24748
119,15,134,TFSI,450,0,1,-8861.054259
119,15,134,TFSI,450,0,1,-4980.226715
39,95,134,TFSI,450,1,1,270.9419407
39,95,134,TFSI,450,1,1,-751.3662974
39,95,134,TFSI,450,1,1,168.2981328
39,95,134,TFSI,450,1,1,-886.1683857
39,95,134,TFSI,450,1,1,857.5045196
59,75,134,TFSI,450,1,1,-128.912965
59,75,134,TFSI,450,1,1,-734.8599634
59,75,134,TFSI,450,1,1,-1100.514751
59,75,134,TFSI,450,1,1,-1701.305399
59,75,134,TFSI,450,1,1,-446.5049618
79,55,134,TFSI,450,1,1,-289.1465883
79,55,134,TFSI,450,1,1,-354.7002564
79,55,134,TFSI,450,1,1,31.03246365
79,55,134,TFSI,450,1,1,330.1465889
79,55,134,TFSI,450,1,1,1979.340028
99,35,134,TFSI,450,1,1,0.740514751
99,35,134,TFSI,450,1,1,-413.7447504
99,35,134,TFSI,450,1,1,-612.3045487
99,35,134,TFSI,450,1,1,2036.801001
99,35,134,TFSI,450,1,1,-1840.073472
119,15,134,TFSI,450,1,1,7880.256389
119,15,134,TFSI,450,1,1,2248.90799
119,15,134,TFSI,450,1,1,-2776.158233
119,15,134,TFSI,450,1,1,7649.944741
119,15,134,TFSI,450,1,1,18253.59661
