model,R2_test,RMSE_test_log,R2_train,RMSE_train_log,CV_R2,RMSE_test_orig
Ridge(α=0.01),-67.1705349774255,17.791453358555433,0.9999836600472117,0.008901567466086963,-11.517449459107166,1.0554563147422571e+27
Ridge(α=0.1),-40.53881664515098,13.888013674391978,0.9991409861643459,0.06454181415604411,-10.525185413842774,4.4935043171065025e+21
Ridge(α=1.0),-9.49725928795701,6.9815368981819494,0.9924648400312521,0.1911557329214362,-5.8800475448080425,10587376544.158125
Ridge(α=10.0),-1.2360599085525883,3.2222170610571212,0.9686321259686143,0.3900170846802438,-1.2032081792819957,2236.51529347897
"SVR(RBF, C=10)",0.15405457327769767,1.9819114595524694,0.9787355044034691,0.3211209439915861,0.11256823456211706,1164.445307196554
"SVR(RBF, C=100)",0.000333571429688595,2.1544708831246115,0.9979581056149319,0.0995079379132314,0.07964216728183975,1166.539806857184
RandomForest(Best),0.12434039491523496,2.016418778279709,0.7612973376321313,1.075894582115239,,1169.7394426962494
RandomForest(raw),0.22134012900607236,1.901459029121809,0.9026251526653072,0.6871704633922493,,1147.162997079149
ExtraTrees(Best),0.23879555780167827,1.8800254672832508,0.7889678948136973,1.011615219896426,,1166.748649312627
GradientBoosting(Best),0.17045271838232912,1.9626083741708127,0.7606552588379046,1.0773406178788643,,1168.2908273969704
MLP(Best),-0.09093754249935837,2.2506762029543768,0.5352138968904399,1.5013005934128374,,1165.0388277529964
