model,R2_test,R2_train,RMSE_log,RMSE_orig,CV_R2
Ridge(α=10),-0.03712920102691708,0.6087501884391093,1.9486223481103282,10794362.601963764,0.011127953798004797
SVR(C=10),0.42064016981671526,0.8474991786657418,1.4564159885479817,1121.048562208497,0.4276421384784945
SVR(C=50),0.4432239241517978,0.9345823264232582,1.4277479023622106,941.3368308366362,0.39999466118767135
SVR(C=100),0.3848281552264211,0.9553764956237685,1.5007538739978108,944.579026908696,0.3392335284074163
RandomForest(Best),0.5793100223358878,0.8851021606161297,1.2410587210036843,715.9537439214931,0.6706753821863246
ExtraTrees(Best),0.6108698384442808,0.956539380395807,1.1935996837724716,729.6795487536519,0.6619283013602043
GradientBoosting(Best),0.5751368183154044,0.8476380865244422,1.2471991219684033,556.4657821195433,0.689197031497234
MLP(Best),-0.011162415637818501,0.7809126068147774,1.9240737175536986,27432462.554091796,0.10437802614863574
RandomForest(pd_only),0.46795773485652503,0.945690119894861,1.3956750498175559,857.9982216762435,0.4105330444083126
RandomForest(phys_only),0.5135689063264695,0.991094327655821,1.3345102442568362,1160.2580301827484,0.5642521177544675
